Name,Year,1+planning,1+generation,1+revision,1+monitoring,2+text,2+element,3+student,3+casual,3+expert,4+smartphone,4+tablet,4+computer,4+misc,5+vision,5+lofi,5+high-fi,5+public,6+low,6+medium,6+high,7+no eval,7+case study,7+qualitative,7+quantitative,7+mixed,8+async,8+real-time,9+tool,9+consultant,9+collaborator,title,bibtex,link,abstract
TALESPIN,1977,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"TALE-SPIN, An Interactive Program that Writes Stories.","@inproceedings{meehan1977tale,   title={TALE-SPIN, An Interactive Program that Writes Stories.},   author={Meehan, James R},   booktitle={Ijcai},   volume={77},   pages={91--98},   year={1977} }",https://www.ijcai.org/Proceedings/77-1/Papers/013.pdf,
Writer's Workbench,1988,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"Writers's workbench: A useful aid, but not a cure-all","@article{day1988writers,   title={Writers's workbench: A useful aid, but not a cure-all},   author={Day, John T},   journal={Computers and Composition},   volume={6},   number={1},   pages={63--78},   year={1988},   publisher={Elsevier Ltd} }",https://www.sciencedirect.com/science/article/abs/pii/S8755461588800288,"Argues that the set of style, usage, and spelling check computer programs marketed as ""Writer's Workbench"" is an effective aid to good writing, giving users the opportunity to edit and revise text depending upon each individual user's purpose. Reports on a survey of teachers' and students' use of ""Writer's Workbench"" at St. Olaf College in Minnesota. (RS)"
Graphic StoryWriter,1992,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Graphic StoryWriter: an interactive environment for emergent storytelling,"@inproceedings{steiner_graphic_1992,address = {New York, NY, USA},series = {{CHI} '92},title = {Graphic {StoryWriter}: an interactive environment for emergent storytelling},isbn = {0-89791-513-5},url = {https://doi.org/10.1145/142750.142831},doi = {10.1145/142750.142831},abstract = {The Graphic StoryWriter (GSW) is an interactive system that enables its users to create structurally complete stories through the manipulation of graphic objects in a simulated storybook. A rule-based story engine manages character and prop interaction, guides story development, and generates text. Through the simple interface and story writing engine, the Graphic StoryWriter provides an environment for early readers to learn about story structures, to experience the relationship between pictures and text, and to experiment with causal effects. This paper describes the motivation for and design of the Graphic StoryWriter, and reports on an empirical comparison of childrens' stories generated orally and using the GSW.},booktitle = {Proceedings of the {SIGCHI} {Conference} on {Human} {Factors} in {Computing} {Systems}},publisher = {Association for Computing Machinery},author = {Steiner, Karl E. and Moher, Thomas G.},year = {1992},keywords = {educational software, story grammars, user interaction},pages = {357--364},}",https://dl.acm.org/doi/10.1145/142750.142831,"The Graphic StoryWriter (GSW) is an interactive system that enables its users to create structurally complete stories through the manipulation of graphic objects in a simulated storybook. A rule-based story engine manages character and prop interaction, guides story development, and generates text. Through the simple interface and story writing engine, the Graphic StoryWriter provides an environment for early readers to learn about story structures, to experience the relationship between pictures and text, and to experiment with causal effects. This paper describes the motivation for and design of the Graphic StoryWriter, and reports on an empirical comparison of childrens' stories generated orally and using the GSW."
StoryStation,2002,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Feedback on children's stories via multiple interface agents,"@inproceedings{robertson_feedback_2002,series = {{LECTURE} {NOTES} {IN} {COMPUTER} {SCIENCE}},title = {Feedback on children's stories via multiple interface agents},volume = {2363},abstract = {This paper describes StoryStation, an intelligent tutoring systemdesigned to give ten to twelve year old children feedback on theircreative writing. The feedback is presented via eight animated interfaceagents. Each agent gives a different sort of support to the writerincluding: a thesaurus, a dictionary, feedback on vocabulary andcharacterisation, help with spelling, help with plot structure, examplestories to read and help with the interface itself. This paper focuseson the strategies for generating feedback to the children and discussessome issues in presenting this feedback through the interface agents.},booktitle = {{IN}℡{LIGENT} {TUTORING} {SYSTEMS}},author = {Robertson, J and Wiemer-Hastings, P},editor = {Cerri, SA and Gouarderes, G and Paraguacu, F},year = {2002},pages = {923--932},}",https://link.springer.com/chapter/10.1007/3-540-47987-2_92,"This paper describes StoryStation, an intelligent tutoring system designed to give ten to twelve year old children feedback on their creative writing. The feedback is presented via eight animated interface agents. Each agent gives a different sort of support to the writer including: a thesaurus, a dictionary, feedback on vocabulary and characterisation, help with spelling, help with plot structure, example stories to read and help with the interface itself. This paper focuses on the strategies for generating feedback to the children and discusses some issues in presenting this feedback through the interface agents."
HARRY,2003,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"A ""computer tutor"" to assist children develop their narrative writingskills: conferencing with HARRY","@article{holdich_computer_2003,title = {A `computer tutor' to assist children develop their narrative writingskills: conferencing with {HARRY}},volume = {59},doi = {10.1016/S1071-5819(03)00086-7},abstract = {The purpose of this study was to test the hypothesis that a computertool can change the way children approach the task of writing andimprove their writing performance. HARRY, a web-based computer tutor,provides a Vygotskian-like scaffolding of the knowledge transformingmature writing process and presents it to children individually in aconference situation. The effects of the computer tutor are analysed bycomparing stories produced by three children of varied writing ability,who wrote a control and a HARRY-assisted story, and by observing thechildren as they wrote. A control group also wrote two stories withoutreceiving assistance for either story. The study's hypothesis wasconfirmed. With HARRY's assistance, the children wrote better storiesand employed the revision process characteristic of mature writers.Vygotsky's work suggests that children will learn to adopt the matureapproach from repeated use of the system and that the scaffolding shouldbe reduced gradually. However, as the system relied upon the children'swillingness to first request, then act upon the available guidance, thesystem would benefit from further development to ensure childreninteract sufficiently with HARRY. (C) 2003 Elsevier Ltd. All rightsreserved.},number = {5},journal = {INTERNATIONAL JOURNAL OF HUMAN-COMPUTER STUDIES},author = {Holdich, CE and Chung, PWH},month = nov,year = {2003},keywords = {intelligent prompting, writing models},pages = {631--669},}",https://doi.org/10.1016/S1071-5819(03)00086-7,"The purpose of this study was to test the hypothesis that a computer tool can change the way children approach the task of writing and improve their writing performance. HARRY, a web-based computer tutor,provides a Vygotskian-like scaffolding of the knowledge transforming mature writing process and presents it to children individually in a conference situation. The effects of the computer tutor are analysed by comparing stories produced by three children of varied writing ability,who wrote a control and a HARRY-assisted story, and by observing the children as they wrote. A control group also wrote two stories without receiving assistance for either story. The study's hypothesis was confirmed. With HARRY's assistance, the children wrote better stories and employed the revision process characteristic of mature writers.Vygotsky's work suggests that children will learn to adopt the mature approach from repeated use of the system and that the scaffolding should be reduced gradually. However, as the system relied upon the children's willingness to first request, then act upon the available guidance, the system would benefit from further development to ensure children interact sufficiently with HARRY.�"
ScriptVis,2003,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Script Visualization (ScriptVis): a smart system that makes writing fun,"@INPROCEEDINGS{1260088,  author={Zhi-Qiang Liu and Ka-Ming Leung},  booktitle={Proceedings of the 2003 International Conference on Machine Learning and Cybernetics (IEEE Cat. No.03EX693)},   title={Script Visualization (ScriptVis): a smart system that makes writing fun},   year={2003},  volume={5},  number={},  pages={2990-2995 Vol.5},  keywords={Visualization;Writing;Layout;Animation;Computer graphics;Production;Natural languages;Humans;Motion pictures;Computer science},  doi={10.1109/ICMLC.2003.1260088}}",https://ieeexplore.ieee.org/document/1260088,"We have built the first version of ScriptVis v.1.0 that allows users to visualize their screenplays in real time via animated graphics. Our system consists of a text understanding module, a high-level planning module and a scene generator. The user can input a screenplay as a set of well-formed English sentences via a graphic user interface. The text understanding module interprets the input sentences and triggers the high-level planner to construct a plan of actions for the appropriate agents. Then the agents execute the plans, and the scene generator renders the scene as the story evolves. Our system provides the user with a powerful tool to visualize his screenplays (stories) in the form of computer graphics, which makes writing story fun for students as well as for screenplay writers."
HARRY,2004,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Improving children's written grammar and style: revising and editing with HARRY,"@article{holdich_improving_2004,title = {Improving children's written grammar and style: revising and editingwith {HARRY}},volume = {42},doi = {10.1016/S0360-1315(03)00052-6},abstract = {Children usually improve their writing in response to teacher comments.HARRY is a computer tutor, designed to assist children improve theirnarrative writing, focusing particularly upon grammar and style.Providing assistance involved identifying aspects of grammar and styleon which to concentrate, including ways to enable the computer to detectweaknesses and then present information concerning how to makeimprovements. HARRY delivers general, conversational style suggestionsfor how to revise a text during composition, followed by editingsuggestions targeting specific grammar and style weaknesses detected inthe text. Finally, spellings and technical errors are corrected in MSWord. Evaluating a writing intervention strategy is problematic, asparadoxically, attempts by children to improve texts, can result in adeterioration in some aspects of writing quality. Four case studies arepresented to demonstrate the effects of the HARRY writing system uponchildren's grammar and style. Each child wrote a control and a HARRYassisted story. HARRY's effectiveness at improving written grammar andstyle is demonstrated through analyses made of the narratives by CHECKTEXT, a utility tool that calculates and interprets quantitative data.Separate analysis of each stage of the HARRY assisted stories revealsthe idiosyncratic pattern of improvement exhibited by each child. (C)2003 Elsevier Ltd. All rights reserved.},number = {1},journal = {COMPUTERS \& EDUCATION},author = {Holdich, CE and Chung, PWH and Holdich, RG},month = jan,year = {2004},keywords = {elementary education, evaluation methodologies, hypermedia systems, improving classroom teaching, teaching strategies},pages = {1--23},}",https://doi.org/10.1016/S0360-1315(03)00052-6,"Children usually improve their writing in response to teacher comments.HARRY is a computer tutor, designed to assist children improve their narrative writing, focusing particularly upon grammar and style.Providing assistance involved identifying aspects of grammar and style on which to concentrate, including ways to enable the computer to detect weaknesses and then present information concerning how to make improvements. HARRY delivers general, conversational style suggestions for how to revise a text during composition, followed by editing suggestions targeting specific grammar and style weaknesses detected in the text. Finally, spellings and technical errors are corrected in MSWord. Evaluating a writing intervention strategy is problematic, paradoxically, attempts by children to improve texts, can result in deterioration in some aspects of writing quality. Four case studies are presented to demonstrate the effects of the HARRY writing system uponchildren's grammar and style. Each child wrote a control and a HARRYassisted story. HARRY's effectiveness at improving written grammar and style is demonstrated through analyses made of the narratives by CHECKTEXT, a utility tool that calculates and interprets quantitative data.Separate analysis of each stage of the HARRY assisted stories reveals the idiosyncratic pattern of improvement exhibited by each child. (C)2003 Elsevier Ltd. All rights reserved."
HEFTI,2004,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,A genetic algorithm approach to interactive narrative generation,"@inproceedings{10.1145/1012807.1012856, author = {Ong, TeongJoo and Leggett, John J.}, title = {A genetic algorithm approach to interactive narrative generation}, year = {2004}, isbn = {1581138482}, publisher = {Association for Computing Machinery}, address = {New York, NY, USA}, url = {https://doi.org/10.1145/1012807.1012856}, doi = {10.1145/1012807.1012856}, abstract = {We discuss the design of the Hybrid Evolutionary-Fuzzy Time-based Interactive (HEFTI) storytelling engine. HEFTI uses genetic algorithms at its core to recombine and evaluate story components generated from a set of story templates. The system allows authors to rely on HEFTI to perform recombination, mutation and selection operations that generate logically congruent variants of the original story via traversal, generation and deletion of (links in) the story elements.}, booktitle = {Proceedings of the Fifteenth ACM Conference on Hypertext and Hypermedia}, pages = {181–182}, numpages = {2}, keywords = {storytelling engines, interactive narrative, genetic algorithms}, location = {Santa Cruz, CA, USA}, series = {HYPERTEXT '04} }",https://dl.acm.org/doi/10.1145/1012807.1012856,"We discuss the design of the Hybrid Evolutionary-Fuzzy Time-based Interactive (HEFTI) storytelling engine. HEFTI uses genetic algorithms at its core to recombine and evaluate story components generated from a set of story templates. The system allows authors to rely on HEFTI to perform recombination, mutation and selection operations that generate logically congruent variants of the original story via traversal, generation and deletion of (links in) the story elements."
Linaza et al.,2004,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,An Authoring Tool for Interactive Digital Storytelling.,"@inproceedings{linaza2004authoring,   title={An Authoring Tool for Interactive Digital Storytelling.},   author={Linaza, Mar{\'\i}a Teresa and Eskudero, Hector and Lamsfus, Carlos and Marcos, Gorka},   booktitle={VAST},   pages={203--211},   year={2004} }",https://diglib.eg.org:8443/server/api/core/bitstreams/7ba7be85-c182-43e9-b51d-424c27c17f74/content,"Stories that are read are usually linear and fixed in their form and structure. Stories that are told are often flexible in these respects: the storyteller can change order and content in response to the audience reaction and participation. Interactive multimedia and digital storytelling technologies now make the presentation of interactive stories possible, with non-linear narrative flow and dynamic character definitions and developments. Authoring such interactive stories has thus become a new challenge for authors and artists. We report on the development and initial tests of a prototype authoring support tool that is intended to support authors in the design, construction and specification of Digital Interactive Stories for multimedia presentation platforms. This Authoring Tool is part of the art-E-fact project- a collaborative project funded by the EU- in which it serves as an experimental platform for understanding how artists and authors want to create these new kinds of 'Digital Stories'."
Wide Ruled,2007,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Wide ruled: A friendly interface to author-goal based story generation,"@inproceedings{skorupski_wide_2007,series = {Lecture {Notes} in {Computer} {Science}},title = {Wide ruled: {A} friendly interface to author-goal based story generation},volume = {4871},abstract = {We present Wide Ruled, an authoring tool for the creation of generativestories. It is based on the Universe author-goal-based model of storygeneration, and extends this model by providing support for readerinteractivity, episodic memory elements, and an extensive graphicalinterface that is aimed at authors with little or no experience withcomputer programming and artificial intelligence planning techniques.The design of the interface is based around common interfaceconventions, narrative terminology, and step-by-step guidance throughthe creation of complex plan preconditions and actions. We also presentinitial user evaluation of this work-in-progress, which shows how ourtool can be used by those with varying technical backgrounds to authordynamic stories with our tool. This feedback also suggests potentialimprovements of the interface to the underlying story representation andgeneration model.},booktitle = {{VIRTUAL} {STORY}℡{LING}, {PROCEEDINGS}: {USING} {VIRTUAL} {REALITY} {TECHNOLOGIESFOR} {STORY}℡{LING}},author = {Skorupski, James and Jayapalan, Lakshmi and Marquez, Sheena and Mateas, Michael},editor = {Cavazza, M and Donikian, S},year = {2007},keywords = {interactive narrative, story generation, author modeling},pages = {26+},}",https://link.springer.com/chapter/10.1007/978-3-540-77039-8_3,"We present Wide Ruled, an authoring tool for the creation of generative stories. It is based on the Universe author-goal-based model of storygeneration, and extends this model by providing support for readerinteractivity, episodic memory elements, and an extensive graphical interface that is aimed at authors with little or no experience with computer programming and artificial intelligence planning techniques.The design of the interface is based around common interface conventions, narrative terminology, and step-by-step guidance through the creation of complex plan preconditions and actions. We also present initial user evaluation of this work-in-progress, which shows how ourtool can be used by those with varying technical backgrounds to author dynamic stories with our tool. This feedback also suggests potential improvements of the interface to the underlying story representation and generation model."
